Name,State_Found,Party,Twitter,Facebook,Website
Juliana Stratton,IL,Democratic Party,,,https://www2.illinois.gov/sites/ltg/Pages/default.aspx
Jumaane Williams,NY,Democratic,,,https://pubadvocate.nyc.gov/
Justin Fairfax,VA,Democratic Party,LGJustinFairfax,,http://www.ltgov.virginia.gov/
Justin Olson,AZ,Republican Party,corpcommaz,,https://www.azcc.gov/commissioners/JOlson/contact.asp
KP George,TX,Unknown,,,http://www.fortbendcountytx.gov/index.aspx?page=26
Kamala D. Harris,CA,Democratic Party,KamalaHarris,,https://www.harris.senate.gov
Karen A. Yarbrough,IL,Unknown,,,https://www.cookcountyil.gov/person/karen-yarbrough-0
Karen Johnson,TN,Nonpartisan,,,https://www.nashville.gov/Register-of-Deeds.aspx
Kate Marshall,NV,Democratic Party,LGKateMarshall,,http://ltgov.nv.gov/
Kathy Hochul,NY,Democratic Party,LtGovHochulNY,ltgovhochulny,
Kathy Hoffman,AZ,Democratic Party,Supt_Hoffman,SuperintendentHoffman,
Katie Hobbs,AZ,Democratic Party,SecretaryHobbs,SecretaryHobbs,https://azsos.gov/
Keith R. Blackwell,GA,,SupremeCourtGA,,
Ken Paxton,TX,Republican Party,TXAG,,https://www.texasattorneygeneral.gov/
Ken Stolle,VA,Republican,,,http://www.vbso.net/
Kenneth L. Maun,TX,Republican Party,,,http://www.collincountytx.gov/tax_assessor/pages/default.aspx
Kevin C. Walsh,TX,Unknown,,,
Kim Ogg,TX,Democratic Party,,,https://app.dao.hctx.net
Kimberly M. Foxx,IL,Democratic,,,https://www.cookcountyil.gov/person/anita-alvarez
Kimberly Yee,AZ,Republican Party,KimberlyYeeAZ,,https://aztreasury.gov/
Kirsten E. Gillibrand,NY,Democratic Party,SenGillibrand,KirstenGillibrand,http://www.gillibrand.senate.gov/
Kurt Summers,IL,Nonpartisan,,,https://www.chicagocitytreasurer.com/
Kwame Raoul,IL,Democratic Party,KwameRaoul,,http://www.illinoisattorneygeneral.gov/
Kyrsten Sinema,AZ,Democratic Party,SenatorSinema,,https://www.sinema.senate.gov/
L. Karen Monroe,CA,Nonpartisan,AlamedaCOE,,https://www.acoe.org/
Lamar Alexander,TN,Republican Party,senalexander,senatorlamaralexander,http://www.alexander.senate.gov/public
Laura B. Fitzpatrick,NV,Democratic Party,,,https://www.clarkcountynv.gov/treasurer/Pages/ContactUs.aspx
Laura Hinojosa,TX,Unknown,,,
Laura Kelly,KS,Democratic Party,GovLauraKelly,,https://governor.kansas.gov/
Laura L. Doud,CA,Nonpartisan,,,http://www.cityauditorlauradoud.com/
Laura Richard,TX,Unknown,,,https://www.fortbendcountytx.gov/government/departments/administration-of-justice/county-clerk
Lawrence C. Kenworthy,AZ,Nonpartisan,,,https://www.yumacountyaz.gov/government/courts/superior-court/about-contact/division-3
Lawton Nuss,KS,,,,http://www.kscourts.org/kansas-courts/supreme-court/justice-bios/nuss.asp
Lee A. Johnson,KS,,,,http://www.kscourts.org/kansas-courts/supreme-court/justice-bios/johnson.asp
Leigh Henderson,VA,Unknown,,,https://www.vbgov.com/government/departments/city-treasurer/Pages/default.aspx
Leon N. Wilmot,AZ,Republican Party,,,https://www.yumacountysheriff.org/
Leondra R. Kruger,CA,,CalCourts,,https://www.courts.ca.gov/33016.htm
Letitia A. James,NY,Democratic Party,NewYorkStateAG,,https://ag.ny.gov/
Linda T. Sánchez,CA,Democratic Party,RepLindaSanchez,CongresswomanLindaSanchez,https://lindasanchez.house.gov/
Lita Leo,TX,Unknown,,,
Lonnell Matthews,TN,Nonpartisan,,,https://juvenilecourtclerk.nashville.gov/
Luis V. Saenz,TX,,,,
Lynn Fazz,AZ,Republican Party,,,https://www.yumacountyaz.gov/government/courts/clerk-of-superior-court
Lynn Marie Goya,NV,Democratic Party,,,https://www.clarkcountynv.gov/clerk/Pages/locations-and-hours.aspx
Lynn Rogers,KS,Democratic Party,,Government-Official,https://governor.kansas.gov/about-the-office/lt-governor/
Lynne Chupp Finley,TX,Republican Party,,,http://www.collincountytx.gov/district_clerk/Pages/default.aspx
Maggie Toulouse Oliver,NM,Democratic Party,NMSecOfState,NMSecOfState,http://www.sos.state.nm.us/
Malia Cohen,CA,,,,http://www.boe.ca.gov/members/board.htm
Maria Pappas,IL,Unknown,,,https://www.cookcountyil.gov/person/maria-pappas
Marian Brown,TX,Democratic Party,Dallas_Sheriff,Dallas.Sheriff.Dept,http://www.dallascounty.org/department/sheriff/sheriff_index.php
Mariano-Florentino Cuéllar,CA,,CalCourts,,https://www.courts.ca.gov/28724.htm
Marilyn Burgess,TX,Unknown,,,http://www.hcdistrictclerk.com/Common/Default.aspx
Mark A. Lunn,CA,Nonpartisan,VCClerkRecorder,VENTURACOUNTYCLERKANDRECORDER,https://recorder.countyofventura.org/
Mark Brnovich,AZ,Republican Party,GeneralBrnovich,,https://www.azag.gov/
Mark Butler,GA,Republican Party,GeorgiaDOL,GeorgiaDOL,https://dol.georgia.gov/
Mark Henry,TX,Unknown,,,http://www.galvestoncountytx.gov/CJ/Pages/default.aspx
Mark Johnson,NC,Republican Party,MarkRJohnsonNC,,https://www.ncsuperintendent.com/
Mark R. Herring,VA,Democratic Party,AGMarkHerring,AGMarkHerring,https://www.oag.state.va.us/
Mark R. Warner,VA,Democratic Party,MarkWarner,MarkRWarner,http://warner.senate.gov/
Mark Takano,CA,Democratic Party,RepMarkTakano,RepMarkTakano,http://takano.house.gov/
Mark Wayne Reeves,AZ,Nonpartisan,,,https://www.yumacountyaz.gov/government/courts/superior-court/about-contact/division-1
Marla J. Luckert,KS,,,,http://www.kscourts.org/kansas-courts/supreme-court/justice-bios/luckert.asp
Marsha Blackburn,TN,Republican Party,marshablackburn,,https://www.blackburn.senate.gov/
Martesha Johnson,TN,Nonpartisan,,,https://publicdefender.nashville.gov/
Martha McSally,AZ,Republican Party,SenMcSallyAZ,,https://www.mcsally.senate.gov/
Martin Heinrich,NM,Democratic Party,MartinHeinrich,MartinHeinrich,http://www.heinrich.senate.gov/
Mary B. Bedard,CA,Nonpartisan,,,
Mary C. Barlow,CA,Nonpartisan,KCSOS,281210562985,http://kern.org/
Maxine Waters,CA,Democratic Party,MaxineWaters,MaxineWaters,http://waters.house.gov/
Melinda Katz,NY,Democratic,,,http://www.queensbp.org/
Melissa Wilk,CA,Nonpartisan,,,http://www.acgov.org/auditor/
Michael Hestrin,CA,Nonpartisan,RivCoDA,,http://www.rivcoda.org/opencms/index.html
Michael Kubosh,TX,Nonpartisan,MichaelKubosh3,,http://www.houstontx.gov/council/3/index.html
Michael P. Boggs,GA,,SupremeCourtGA,,
Michael W. Frerichs,IL,Democratic Party,ILTreasurer,,https://illinoistreasurer.gov/
Michelle Lujan Grisham,NM,Democratic Party,GovMLG,GovMLG,https://www.governor.state.nm.us/
Mike Boudreaux,CA,Nonpartisan,TulareSheriff,,https://tularecounty.ca.gov/sheriff/
Mike Causey,NC,Republican Party,NCInsuranceDept,,http://www.ncdoi.com/
Mike Feuer,CA,Nonpartisan,CityAttorneyLA,,https://www.lacityattorney.org/
Mike Knox,TX,Nonpartisan,,,http://www.houstontx.gov/council/1/
Mike Pence,TX,Republican Party,VP,whitehouse,http://www.whitehouse.gov/
Mike Schaefer,CA,,,,http://www.boe.ca.gov/members/board.htm
Ming W. Chin,CA,,CalCourts,,https://www.courts.ca.gov/5762.htm
Nancy O'Malley,CA,Nonpartisan,AlamedaCountyDA,,http://www.alcoda.org/
Nanette Diaz Barragán,CA,Democratic Party,repbarragan,nanette.barragan,https://barragan.house.gov/
Nels S.D. Peterson,GA,,SupremeCourtGA,,
Norma Favela,TX,Unknown,,,http://www.epcounty.com/districtclerk/
Norma J. Torres,CA,Democratic Party,NormaJTorres,RepNormaTorres,https://torres.house.gov/
Omar Lucio,TX,Unknown,,,http://www.co.cameron.tx.us/sheriffs/sheriffsoffice.html
"Pablo ""Paul"" Villareal",TX,Unknown,,,
Pat Roberts,KS,Republican Party,SenPatRoberts,SenPatRoberts,http://www.roberts.senate.gov/public/
Patsy Schultz,TX,Unknown,,,http://www.fortbendcountytx.gov/index.aspx?page=417
Paul Angulo,CA,Nonpartisan,,,
Paul Cook,CA,Republican Party,RepPaulCook,RepPaulCook,http://cook.house.gov/
Pauline Medrano,TX,Unknown,,,https://www.dallascounty.org/departments/treasurer/
Pete Olson,TX,Republican Party,reppeteolson,20718168936,http://olson.house.gov/
Peter Aldana,CA,Nonpartisan,,,https://www.asrclkrec.com/
Philip J. Kellam,VA,Democratic,,,https://www.vbgov.com/government/departments/commissioner-of-the-revenue/Pages/default.aspx
Phong La,CA,Nonpartisan,,,http://www.acgov.org/assessor/
Rahm Emanuel,IL,Nonpartisan,ChicagosMayor,rahmemanuel,https://www.chicago.gov/city/en/depts/mayor.html
Ralph S. Northam,VA,Democratic Party,GovernorVA,61634046094,http://www.governor.virginia.gov/
Randy K. Weber Sr.,TX,Republican Party,TXRandy14,TXRandy14,http://weber.house.gov/
Ricardo A. Samaniego,TX,Unknown,,ElPasoCountyJudge,http://www.epcounty.com/judge/
Ricardo Lara,CA,Democratic Party,ICRicardoLara,insurancecagov,http://www.insurance.ca.gov/
Ricardo Rodriguez,TX,,,,
Richard A. Brown,NY,Democratic,,,http://www.queensda.org/index2.html
Richard Burr,NC,Republican Party,senatorburr,SenatorRichardBurr,http://www.burr.senate.gov/
Richard D. Wiles,TX,Unknown,EPSHERIFF,EPSHERIFF,http://www.epcounty.com/sheriff/
Richard F. Cortez,TX,Unknown,,,
Richard J. Durbin,IL,Democratic Party,SenatorDurbin,SenatorDurbin,http://www.durbin.senate.gov/public/
Richard R. Rooker,TN,Nonpartisan,,,http://circuitclerk.nashville.gov/
Richard Steele,GA,Republican,,GwinnettTaxCommissioner,http://gwinnetttaxcommissioner.publicaccessnow.com/
"Richard T. Alexander, Jr.",GA,Republican,,,http://www.gwinnettcourts.com/about/clerk-of-courts
Richard Woods,GA,Republican Party,SuptWoods,,http://www.gadoe.org/Pages/Home.aspx
Rob Woodall,GA,Republican Party,RepRobWoodall,RepRobWoodall,http://woodall.house.gov/
Robert Benham,GA,,SupremeCourtGA,,https://www.gasupreme.us/court-information/biographies/justice-robert-benham/
Robert Garcia,CA,Nonpartisan,RobertGarciaLB,,http://www.longbeach.gov/mayor/
"Robert M. ""Bob"" Dyer",VA,Nonpartisan,,,https://www.vbgov.com/government/departments/city-clerk/city-council/Pages/city-council-members.aspx
Robert M. Brutinet,AZ,,AZCourts,ArizonaSupremeCourt,https://www.azcourts.gov/meetthejustices/ViceChiefJusticeRobertMBrutinel.aspx
Robert Telles,NV,Democratic Party,,,https://www.clarkcountynv.gov/pa/Pages/ContactUs.aspx
Robyn Stallworth Pouquette,AZ,Republican Party,,,https://www.yumacountyaz.gov/government/recorder
Roger Nelson,AZ,Nonpartisan,,,https://www.yumacountyaz.gov/government/courts/superior-court/about-contact/division-5
Roland P. Hill,CA,Nonpartisan,,,http://tularecounty.ca.gov/assessor/
Ron Galperin,CA,Nonpartisan,LAController,,http://www.lacontroller.org/
Rosemary Wilson,VA,Nonpartisan,rosemaryawilson,,https://www.vbgov.com/government/departments/city-clerk/city-council/Pages/city-council-members.aspx
Roy Cooper,NC,Democratic Party,NC_Governor,,https://governor.nc.gov/
"Roy Cordes, Jr.",TX,Republican Party,,,http://www.fortbendcountytx.gov/index.aspx?page=95
Ruben Diaz Jr.,NY,Democratic,rubendiazjr,bronxbp,http://bronxboropres.nyc.gov/
Ruben P. Gonzalez,TX,Unknown,,,http://www.epcounty.com/taxoffice/
Ryan Sitton,TX,Republican Party,,,https://www.rrc.state.tx.us/about-us/commissioners/sitton/
Sandra Kennedy,AZ,Democratic Party,corpcommaz,,https://www.azcc.gov/commissioners/SKennedy/contact.asp
Sarah H. Warren,GA,,SupremeCourtGA,,https://www.gasupreme.us/court-information/biographies/justice-sarah-hawkins-warren/
Scott Bales,AZ,,AZCourts,ArizonaSupremeCourt,https://www.azcourts.gov/meetthejustices/ChiefJusticeScottBales.aspx
Scott Jones,CA,Nonpartisan,sacsheriff,SacSheriff,http://www.sacsheriff.com/
Scott M. Stringer,NY,Democratic,NYCComptroller,scottstringernyc,https://comptroller.nyc.gov/
Scott Schwab,KS,Republican Party,,,https://sos.kansas.gov/
Shari Freidenrich,CA,Nonpartisan,,,http://ocgov.com/gov/ttc/
Sharice Davids,KS,Democratic Party,RepDavids,RepDavids,https://davids.house.gov/
Sharon Hurt,TN,Nonpartisan,SharonWHurt,CouncilwomanSharonHurt,https://www.nashville.gov/Metro-Council/Metro-Council-Members/At-Large-4-Council-Member.aspx
Sid Miller,TX,Republican Party,TexasDeptofAg,Texas-Department-of-Agriculture,http://www.texasagriculture.gov/About/CommissionerMiller.aspx
Stacey Kemp,TX,Republican Party,,206696422178,http://www.collincountytx.gov/county_clerk/pages/default.aspx
Stan Mantooth,CA,Nonpartisan,,,https://www.vcoe.org/supt
Stephanie Garcia Richard,NM,Democratic Party,NMLandOffice,,
Stephen M Howe,KS,Republican,,,http://da.jocogov.org/about-da
Steve Sisolak,NV,Democratic Party,GovSisolak,,http://gov.nv.gov/
Steve Troxler,NC,Republican Party,NCAgriculture,NCAgriculture,http://www.ncagr.gov/commissioner/
Steve Wolfson,NV,Democratic Party,LasVegasDA,LasVegasDA,https://www.clarkcountynv.gov/district-attorney/Pages/ContactUs.aspx
Steven Hintz,CA,Nonpartisan,,VCTreasurerTaxColl,http://www.ventura.org/ttc
Summer Stephan,CA,Nonpartisan,,138326932926913,http://www.sdcda.org/
Susana Mendoza,IL,Democratic Party,ILComptroller,,https://illinoiscomptroller.gov/
Sylvester Turner,TX,Nonpartisan,SylvesterTurner,houstonmayor,https://www.houstontx.gov/mayor/
Sylvia Garza-Perez,TX,Unknown,,,http://www.co.cameron.tx.us/countyclerk/index.htm
Tammy Duckworth,IL,Democratic Party,SenDuckworth,SenDuckworth,https://www.duckworth.senate.gov
Tani G. Cantil-Sakauye,CA,,CalCourts,,https://www.courts.ca.gov/2664.htm
Ted Alejandre,CA,Nonpartisan,,,https://www.sbcss.k12.ca.us/
Ted Cruz,TX,Republican Party,SenTedCruz,SenatorTedCruz,http://www.cruz.senate.gov/
Ted Gaines,CA,,,,http://www.boe.ca.gov/members/board.htm
Thom Tillis,NC,Republican Party,SenThomTillis,SenatorThomTillis,http://www.tillis.senate.gov/
Thomas C. Tyree,AZ,Republican Party,,,https://www.yumasupt.org/
Thomas Dart,IL,Unknown,,,https://www.cookcountyil.gov/person/thomas-dart
Thomas P. DiNapoli,NY,Democratic Party,NYSComptroller,nyscomptroller,https://www.osc.state.ny.us/
Tim A. Hire,CA,Nonpartisan,,,http://www.tcoe.org/Commitment/Superintendent.shtm
Tim Eichenberg,NM,Democratic Party,NM_Treasurer,,http://www.nmsto.gov/
Tim Kaine,VA,Democratic Party,SenKaineOffice,SenatorKaine,http://kaine.senate.gov/
Tim Ward,CA,Nonpartisan,TulareDA,,http://www.da-tulareco.org/
Tina E. Sinnen,VA,Republican,,,https://www.vbgov.com/government/departments/courts/circuit-court-clerks-office/Pages/default.aspx
Todd Spitzer,CA,Nonpartisan,OCDATony,ocdatony,http://orangecountyda.org/
Tom Udall,NM,Democratic Party,SenatorTomUdall,senatortomudall,http://www.tomudall.senate.gov/
Toni Preckwinkle,IL,Unknown,ToniPreckwinkle,,https://www.cookcountyil.gov/person/toni-preckwinkle
Tony Cárdenas,CA,Democratic Party,RepCardenas,repcardenas,http://cardenas.house.gov/
Tony K. Thurmond,CA,Nonpartisan,CADeptEd,CAEducation,http://www.cde.ca.gov/
"Tony Yzaguirre, Jr.",TX,Unknown,,,http://www.co.cameron.tx.us/TAC/
Troy E. Nehls,TX,Unknown,FBCSO,,http://www.fortbendcountytx.gov/index.aspx?page=300
VACANT,TN,Nonpartisan,,jerrymaynardii,https://www.nashville.gov/Metro-Council/Metro-Council-Members/At-Large-5-Council-Member.aspx
Van Taylor,TX,Republican Party,repvantaylor,,https://vantaylor.house.gov
Veronica Escobar,TX,Democratic Party,repescobar,,https://escobar.house.gov/
Vicki Schmidt,KS,Republican Party,,,https://www.ksinsurance.org/
Vince Ryan,TX,Democratic Party,HarrisCountyAO,,http://www.harriscountycao.org
Vivan M. Wilhoite,TN,,,,
Wayne Christian,TX,Republican Party,,,https://www.rrc.state.tx.us/about-us/commissioners/christian/
William Gore,CA,Nonpartisan,sdsheriff,sdsheriff,https://www.sdsheriff.net/
Xavier Becerra,CA,Democratic Party,AGBecerra,XavierBecerra,https://oag.ca.gov/
Yvette D. Clarke,NY,Democratic Party,repyvetteclarke,repyvettedclarke,http://clarke.house.gov/
Zach Conine,NV,Democratic Party,NVTreasury,,http://www.nevadatreasurer.gov/
